Day,Date,StartTime,EndTime,Course,Paper,Location,Materials
Friday,29/11/2019,08:45,11:00,MFIN6210:Empirical Studies in Finance,1,Skyline Room R'wick R'course,Calculator - UNSW Approved
Thursday,05/12/2019,13:45,16:00,MFIN6205:Fin Risk Mgmt for Fins Inst,1,"Doncaster Rm, R'wick R'course",Calculator - UNSW Approved
