exam,date,time,writing_time,reading_time,campus,venue,building,room,your_seat,map,exam_conditions,materials_permitted
CIVL2611 Introductory Fluid Mechanics,Saturday 23/11/2019,1:50pm,2 hours,10 minutes,Camperdown Campus,Quadrangle Building Latin 1 S224,A14,S224,48,http://sydney.edu.au/maps/embed/?building=A14,This is a CLOSED book examination - no material permitted,Calculator - non-programmableNone
CIVL1810/CIVL9810 Engineering Construction and Surveying,Thursday 28/11/2019,12:00pm,2 hours,10 minutes,Camperdown Campus,Peter Nicol Russell Learning Studio 310,J02,310,22,http://sydney.edu.au/maps/embed/?building=J02,This is a CLOSED book examination - no material permitted,Calculator - non-programmable
